L	T	bias	mag	mag2	mag4	e	e2	x	c	U_L
256	2	1.2214	0.911494	0.830833	0.690322	-1.74565	3.04733	0.371909	0.752047	0.666648
256	2	1.49182	0.911192	0.830283	0.689409	-1.74534	3.04627	0.392476	0.782744	0.666647
256	2	1.82212	0.911412	0.830684	0.690077	-1.74566	3.04736	0.397727	0.7167	0.666647
256	2	2.22554	0.911792	0.831377	0.691227	-1.74626	3.04946	0.38232	0.744332	0.666648
256	2	2.71828	0.911405	0.83067	0.690052	-1.74551	3.04687	0.387566	0.745403	0.666648
256	2	3.32012	0.911531	0.830899	0.690427	-1.74567	3.0474	0.324037	0.643468	0.666651
256	2	4.0552	0.911739	0.83128	0.691067	-1.74629	3.04958	0.391102	0.717395	0.666648
256	2	4.95303	0.91118	0.83026	0.689371	-1.74513	3.04551	0.384188	0.743109	0.666648
256	2	6.04965	0.911355	0.830581	0.689906	-1.74551	3.04685	0.404391	0.778128	0.666647
256	2	7.38906	0.911062	0.830044	0.689008	-1.74509	3.04539	0.344295	0.706405	0.66665
